time,open,high,low,close,EMA,Smoothing Line,,
17/08/2017,4261.48,4485.39,4200.74,4285.08,NaN,NaN,,
18/08/2017,4285.08,4371.52,3938.77,4108.37,NaN,NaN,,
19/08/2017,4108.37,4184.69,3850,4139.98,NaN,NaN,,
20/08/2017,4120.98,4211.08,4032.62,4086.29,NaN,NaN,,
21/08/2017,4069.13,4119.62,3911.79,4016,NaN,NaN,,
22/08/2017,4016,4104.82,3400,4040,NaN,NaN,,
23/08/2017,4040,4265.8,4013.89,4114.01,NaN,NaN,,
24/08/2017,4147,4371.68,4085.01,4316.01,NaN,NaN,,
25/08/2017,4316.01,4453.91,4247.48,4280.68,NaN,NaN,,
26/08/2017,4280.71,4367,4212.41,4337.44,NaN,NaN,,
27/08/2017,4332.51,4400,4285.54,4310.01,NaN,NaN,,
28/08/2017,4310.01,4399.82,4124.54,4386.69,NaN,NaN,,
29/08/2017,4353.65,4625.85,4313.55,4587.48,NaN,NaN,,
30/08/2017,4564.52,4647.51,4416.01,4555.14,NaN,NaN,,
31/08/2017,4555.14,4745.42,4555.14,4724.89,NaN,NaN,,
01/09/2017,4689.89,4885.55,4654.88,4834.91,NaN,NaN,,
02/09/2017,4796.16,4939.19,4286.87,4472.14,NaN,NaN,,
03/09/2017,4508.5,4714.76,4298.33,4509.08,NaN,NaN,,
04/09/2017,4505,4527.49,3972.51,4100.11,NaN,NaN,,
05/09/2017,4106.97,4484.99,3603,4366.47,NaN,NaN,,
06/09/2017,4366.49,4662.87,4335.26,4619.77,NaN,NaN,,
07/09/2017,4619.77,4788.59,4438.19,4691.61,NaN,NaN,,
08/09/2017,4691.66,4735.39,4028.93,4282.8,NaN,NaN,,
09/09/2017,4282.8,4426.62,4150.06,4258.81,NaN,NaN,,
10/09/2017,4258.81,4283,3801,4130.37,NaN,NaN,,
11/09/2017,4153.62,4334.43,4098.91,4208.47,NaN,NaN,,
12/09/2017,4208.6,4394.59,4040.8,4163.72,NaN,NaN,,
13/09/2017,4159.72,4165.38,3760,3944.69,NaN,NaN,,
14/09/2017,3944,3993,3165.13,3189.02,NaN,NaN,,
15/09/2017,3188.01,3856,2817,3700,NaN,NaN,,
16/09/2017,3674.01,3950,3470.66,3714.95,NaN,NaN,,
17/09/2017,3685.23,3748.21,3499.02,3699.99,NaN,NaN,,
18/09/2017,3690,4123.2,3690,4035.01,NaN,NaN,,
19/09/2017,4060,4089.97,3830.91,3910.04,NaN,NaN,,
20/09/2017,3910.04,4046.08,3820,3900,NaN,NaN,,
21/09/2017,3889.99,3910,3567,3609.99,NaN,NaN,,
22/09/2017,3592.84,3750,3505.55,3595.87,NaN,NaN,,
23/09/2017,3595.88,3817.19,3542.91,3780,NaN,NaN,,
24/09/2017,3779.54,3789.99,3622.76,3660.02,NaN,NaN,,
25/09/2017,3660.02,3979.87,3653.69,3920.75,NaN,NaN,,
26/09/2017,3928,3976.99,3850.05,3882.35,NaN,NaN,,
27/09/2017,3882.36,4249.94,3872.81,4193,NaN,NaN,,
28/09/2017,4192.11,4300,4101,4174.5,NaN,NaN,,
29/09/2017,4178.98,4263.86,3952.01,4174.69,NaN,NaN,,
30/09/2017,4175,4380,4138.1,4378.51,NaN,NaN,,
01/10/2017,4378.49,4406.52,4240.04,4378.48,NaN,NaN,,
02/10/2017,4400,4561.63,4360,4380,NaN,NaN,,
03/10/2017,4380,4467.33,4180.8,4310,NaN,NaN,,
04/10/2017,4314.9,4373,4142,4208.59,NaN,NaN,,
05/10/2017,4208.59,4355,4110,4292.43,NaN,NaN,,
06/10/2017,4318.99,4417,4292,4369,NaN,NaN,,
07/10/2017,4369,4479.5,4312.56,4423,NaN,NaN,,
08/10/2017,4425,4658,4425,4640,NaN,NaN,,
09/10/2017,4640,4889.98,4550,4786.95,NaN,NaN,,
10/10/2017,4786.95,4960,4680.59,4783.06,NaN,NaN,,
11/10/2017,4783.06,4881.61,4710,4821.43,NaN,NaN,,
12/10/2017,4821.43,5439.99,4810.16,5430,NaN,NaN,,
13/10/2017,5439.99,5846.17,5379.84,5649.98,NaN,NaN,,
14/10/2017,5650,5900,5580.01,5869.99,NaN,NaN,,
15/10/2017,5855.03,5922.3,5400.01,5709.99,NaN,NaN,,
16/10/2017,5710,5788.91,5585.19,5760.02,NaN,NaN,,
17/10/2017,5760,5774.98,5508.63,5595,NaN,NaN,,
18/10/2017,5595,5596,5037.95,5512.06,NaN,NaN,,
19/10/2017,5513,5710,5490.26,5683.9,NaN,NaN,,
20/10/2017,5683.31,6110,5600,6010.01,NaN,NaN,,
21/10/2017,6013.72,6171,5850.03,6024.97,NaN,NaN,,
22/10/2017,6003.27,6060,5720.03,5950.02,NaN,NaN,,
23/10/2017,5975,6080,5621.03,5915.93,NaN,NaN,,
24/10/2017,5909.47,5925,5450,5477.03,NaN,NaN,,
25/10/2017,5506.92,5704.96,5286.98,5689.99,NaN,NaN,,
26/10/2017,5670.1,5939.99,5650,5861.77,NaN,NaN,,
27/10/2017,5861.77,5980,5649.24,5768.83,NaN,NaN,,
28/10/2017,5768.79,5850.02,5630.03,5719.64,NaN,NaN,,
29/10/2017,5709.98,6189.88,5648.01,6169.98,NaN,NaN,,
30/10/2017,6133.01,6248.68,6030,6120.5,NaN,NaN,,
31/10/2017,6120.52,6498.01,6100,6463,NaN,NaN,,
01/11/2017,6463,6774.67,6338.02,6753.98,NaN,NaN,,
02/11/2017,6753.98,7300,6685.1,7019.98,NaN,NaN,,
03/11/2017,7010.31,7346.34,6923,7115.04,NaN,NaN,,
04/11/2017,7115.02,7480.99,6901,7357.09,NaN,NaN,,
05/11/2017,7357.27,7590.25,7279.02,7345.01,NaN,NaN,,
06/11/2017,7345.1,7401,6906,6960.12,NaN,NaN,,
07/11/2017,6981.72,7198.49,6901,7064.04,NaN,NaN,,
08/11/2017,7070,7770.02,6651,7303,NaN,NaN,,
09/11/2017,7303.01,7392,7015,7079.99,NaN,NaN,,
10/11/2017,7079,7279.91,6255.01,6506.98,NaN,NaN,,
11/11/2017,6503,6797.98,6100,6245.05,NaN,NaN,,
12/11/2017,6245.05,6630,5325.01,5811.03,NaN,NaN,,
13/11/2017,5839.94,6697.47,5699.99,6465.99,NaN,NaN,,
14/11/2017,6465.99,6684.98,6311.07,6574.99,NaN,NaN,,
15/11/2017,6575.99,7298,6575.99,7240.06,NaN,NaN,,
16/11/2017,7240.14,7940,7076,7864.5,NaN,NaN,,
17/11/2017,7876.98,7989,7451,7699.19,NaN,NaN,,
18/11/2017,7680.01,7819.99,7422,7761.94,NaN,NaN,,
19/11/2017,7761.94,8123.15,7650.33,8038,NaN,NaN,,
20/11/2017,8057.11,8319.99,7954,8212,NaN,NaN,,
21/11/2017,8212.49,8400,7801,8119.51,NaN,NaN,,
22/11/2017,8091.09,8322.68,8091.09,8205.92,NaN,NaN,,
23/11/2017,8233.03,8260,8000,8019.99,NaN,NaN,,
24/11/2017,8019.97,8369,7850,8138,NaN,NaN,,
25/11/2017,8138.99,8734.78,8090,8700.01,NaN,NaN,,
26/11/2017,8700.04,9350,8604.72,9128.02,NaN,NaN,,
27/11/2017,9128,9654.28,9112.04,9650,NaN,NaN,,
28/11/2017,9650,9939,9570.5,9896.8,NaN,NaN,,
29/11/2017,9896.79,11300.03,8520,9687.88,NaN,NaN,,
30/11/2017,9687.88,10900,8850.8,9838.96,NaN,NaN,,
01/12/2017,9837,10898,9380,10782.99,NaN,NaN,,
02/12/2017,10775.04,11190,10620,10890.01,NaN,NaN,,
03/12/2017,10902.69,11825,10500,11165.41,NaN,NaN,,
04/12/2017,11165.41,11616,10802,11616,NaN,NaN,,
05/12/2017,11608,11853,11447.68,11699.99,NaN,NaN,,
06/12/2017,11698,13615.23,11665.58,13545.53,NaN,NaN,,
07/12/2017,13545.53,16649.96,13050,16533.11,NaN,NaN,,
08/12/2017,16552.9,17204.99,14015,15880,NaN,NaN,,
09/12/2017,15880,16269.3,12535,14699.97,NaN,NaN,,
10/12/2017,14699.97,15720.12,12368,14946.26,NaN,NaN,,
11/12/2017,14901.08,17470,14901.08,16560.02,NaN,NaN,,
12/12/2017,16560.04,16976.45,15875,16350,NaN,NaN,,
13/12/2017,16350,16546,14666.56,16020.42,NaN,NaN,,
14/12/2017,16046.58,16445,15450,16340,NaN,NaN,,
15/12/2017,16339.99,17991,16300.06,17516.81,NaN,NaN,,
16/12/2017,17516.81,19539,17190.01,19102.66,NaN,NaN,,
17/12/2017,19102.66,19798.68,18510,18860.02,NaN,NaN,,
18/12/2017,18865,19300,17029.98,18856.25,NaN,NaN,,
19/12/2017,18856.25,18950,16300,17295.2,NaN,NaN,,
20/12/2017,17295.2,17720.35,14777.66,16488.98,NaN,NaN,,
21/12/2017,16480.52,17309.5,14022,15492.64,NaN,NaN,,
22/12/2017,15514.03,15699.34,10961,13326.61,NaN,NaN,,
23/12/2017,13326.61,14950,12978.18,13300,NaN,NaN,,
24/12/2017,13300,13819.99,11640,13500,NaN,NaN,,
25/12/2017,13500,14300,12708,13699.34,NaN,NaN,,
26/12/2017,13699.34,16050,13533,15689.01,NaN,NaN,,
27/12/2017,15709.98,16498.05,14200.15,15459.99,NaN,NaN,,
28/12/2017,15459.97,15539.99,13150,14182.11,NaN,NaN,,
29/12/2017,14199.14,14981,13850,14378.9,NaN,NaN,,
30/12/2017,14378.99,14398.85,11750,12440.01,NaN,NaN,,
31/12/2017,12345.1,14050.11,12149.98,13716.36,NaN,NaN,,
01/01/2018,13715.65,13818.55,12750,13380,NaN,NaN,,
02/01/2018,13382.16,15473.49,12890.02,14675.11,NaN,NaN,,
03/01/2018,14690,15307.56,14150,14919.51,NaN,NaN,,
04/01/2018,14919.51,15280,13918.04,15059.54,NaN,NaN,,
05/01/2018,15059.56,17176.24,14600,16960.39,NaN,NaN,,
06/01/2018,16960.39,17143.13,16011.21,17069.79,NaN,NaN,,
07/01/2018,17069.79,17099.96,15610,16150.03,NaN,NaN,,
08/01/2018,16218.85,16322.3,12812,14902.54,NaN,NaN,,
09/01/2018,14902.54,15500,14011.05,14400,NaN,NaN,,
10/01/2018,14401,14955.66,13131.31,14907.09,NaN,NaN,,
11/01/2018,14940,14968.68,11400,13238.78,NaN,NaN,,
12/01/2018,13238.76,14109.78,12500,13740.01,NaN,NaN,,
13/01/2018,13749.95,14580,13706.15,14210,NaN,NaN,,
14/01/2018,14210,14339.5,12569.2,13474.99,NaN,NaN,,
15/01/2018,13477.98,14249.99,13147.79,13539.93,NaN,NaN,,
16/01/2018,13500,13542.93,9035,10900,NaN,NaN,,
17/01/2018,10899.99,11680.99,9037.94,10988.79,NaN,NaN,,
18/01/2018,10972.59,11878.82,10435.33,10961.97,NaN,NaN,,
19/01/2018,10960,11795,10360,11474.98,NaN,NaN,,
20/01/2018,11474.98,13099,11412.45,12799.94,NaN,NaN,,
21/01/2018,12799.8,12799.8,10965,11530,NaN,NaN,,
22/01/2018,11530,11926.35,9900.24,10760.05,NaN,NaN,,
23/01/2018,10760.05,11399,9905,10799.18,NaN,NaN,,
24/01/2018,10799.14,11570.48,10500,11349.99,NaN,NaN,,
25/01/2018,11349.96,11794.05,10950.21,11175.27,NaN,NaN,,
26/01/2018,11184.7,11643,10311.15,11089,NaN,NaN,,
27/01/2018,11089,11650,10842.69,11491,NaN,NaN,,
28/01/2018,11499.98,12244,11408,11879.95,NaN,NaN,,
29/01/2018,11879.95,11975.02,11139.55,11251,NaN,NaN,,
30/01/2018,11250.11,11308.42,9900,10237.51,NaN,NaN,,
31/01/2018,10230,10425.85,9700,10285.1,NaN,NaN,,
01/02/2018,10285.1,10335,8750.99,9224.52,NaN,NaN,,
02/02/2018,9224.52,9250,8010.02,8873.03,NaN,NaN,,
03/02/2018,8873.03,9473.01,8229,9199.96,NaN,NaN,,
04/02/2018,9199.96,9368,7930,8184.81,NaN,NaN,,
05/02/2018,8179.99,8382.8,6625,6939.99,NaN,NaN,,
06/02/2018,6939.63,7878,6000.01,7652.14,NaN,NaN,,
07/02/2018,7655.02,8476,7150.01,7599,NaN,NaN,,
08/02/2018,7599,7844,7572.09,7784.02,NaN,NaN,,
09/02/2018,7789.9,8738,7789.9,8683.92,NaN,NaN,,
10/02/2018,8683.92,9065.78,8120,8533.98,NaN,NaN,,
11/02/2018,8533.99,8549,7726.53,8063.88,NaN,NaN,,
12/02/2018,8063.82,8989,8053,8903,NaN,NaN,,
13/02/2018,8903,8950,8351,8539.9,NaN,NaN,,
14/02/2018,8535.17,9489.6,8533,9449.99,NaN,NaN,,
15/02/2018,9449.98,10219.5,9301.5,10000.09,NaN,NaN,,
16/02/2018,10000.89,10323.37,9666,10159.98,NaN,NaN,,
17/02/2018,10156.07,11075.07,10050,11039.55,NaN,NaN,,
18/02/2018,11039.55,11274,10080,10383.43,NaN,NaN,,
19/02/2018,10375.01,11250,10270.33,11153,NaN,NaN,,
20/02/2018,11147.11,11786.01,11100.59,11200.99,NaN,NaN,,
21/02/2018,11195.07,11304.03,10200,10437.6,NaN,NaN,,
22/02/2018,10439.02,10933.44,9679,9811.04,NaN,NaN,,
23/02/2018,9815.55,10435,9570.19,10131.04,NaN,NaN,,
24/02/2018,10131.04,10496.97,9352,9694.51,NaN,NaN,,
25/02/2018,9694.51,9847,9274.8,9590,NaN,NaN,,
26/02/2018,9590,10444.32,9350,10324,NaN,NaN,,
27/02/2018,10321,10870,10121,10569.04,NaN,NaN,,
28/02/2018,10584.33,11098,10300,10326.76,NaN,NaN,,
01/03/2018,10325.64,11060.41,10240,10920,NaN,NaN,,
02/03/2018,10923.36,11200,10770,11039,NaN,NaN,,
03/03/2018,11038.99,11544,11015.01,11464.48,NaN,NaN,,
04/03/2018,11464.47,11565,11050.02,11515,8756.4801,8756.4801,,
05/03/2018,11515,11710,11415.01,11454,8783.321094029852,8783.321094029852,,
06/03/2018,11455,11455,10555.48,10716.48,8802.556506029556,8802.556506029556,,
07/03/2018,10716.48,10899,9389.31,9910,8813.575844278017,8813.575844278017,,
08/03/2018,9910,10099,9060,9271.64,8818.133696573757,8818.133696573757,,
09/03/2018,9267.07,9410,8329,9227,8822.202018000884,8822.202018000884,,
10/03/2018,9230,9490,8667.07,8770.22,8821.684783990924,8821.684783990924,,
11/03/2018,8770.22,9740,8450,9533.57,8828.768218976089,8828.768218976089,,
12/03/2018,9533.57,9888.88,8780,9131.34,8831.778883463889,8831.778883463889,,
13/03/2018,9131.34,9474,8823,9150,8834.945262732905,8834.945262732905,,
