time,open,high,low,close,EMA,Smoothing Line,,
2021-01-01T02:00:00+02:00,28923.63,29031.34,28690.17,28995.13,14793.260288857407,14793.260288857407,,
2021-01-01T03:00:00+02:00,28995.13,29470,28960.35,29409.99,NaN,NaN,,
2021-01-01T04:00:00+02:00,29410,29465.26,29120.03,29194.65,NaN,NaN,,
2021-01-01T05:00:00+02:00,29195.25,29367,29150.02,29278.4,NaN,NaN,,
2021-01-01T06:00:00+02:00,29278.41,29395,29029.4,29220.31,NaN,NaN,,
2021-01-01T07:00:00+02:00,29220.31,29235.28,29084.11,29187.01,NaN,NaN,,
2021-01-01T08:00:00+02:00,29187.01,29270,29077.32,29174.35,NaN,NaN,,
2021-01-01T09:00:00+02:00,29174.35,29191.98,28806.54,29092.83,NaN,NaN,,
2021-01-01T10:00:00+02:00,29092.84,29178.03,28872.24,29000.01,NaN,NaN,,
2021-01-01T11:00:00+02:00,29000.01,29307.73,28970,29202.21,NaN,NaN,,
2021-01-01T12:00:00+02:00,29202.21,29344.97,29152.88,29223.82,NaN,NaN,,
2021-01-01T13:00:00+02:00,29223.82,29402.57,29212.44,29313.49,NaN,NaN,,
2021-01-01T14:00:00+02:00,29313.49,29600,29150,29233.49,NaN,NaN,,
2021-01-01T15:00:00+02:00,29233.49,29470,29200,29464.79,NaN,NaN,,
2021-01-01T16:00:00+02:00,29464.79,29530,29266.15,29327.84,NaN,NaN,,
2021-01-01T17:00:00+02:00,29327.83,29391,29030.14,29188.67,NaN,NaN,,
2021-01-01T18:00:00+02:00,29188.67,29360,29125,29300.57,NaN,NaN,,
2021-01-01T19:00:00+02:00,29300.79,29339.76,28937,29079.64,NaN,NaN,,
2021-01-01T20:00:00+02:00,29077.59,29259.98,28624.57,29072.7,NaN,NaN,,
2021-01-01T21:00:00+02:00,29072.7,29125.32,28950,29029.04,NaN,NaN,,
2021-01-01T22:00:00+02:00,29029.04,29279.72,28880.37,29200.96,NaN,NaN,,
2021-01-01T23:00:00+02:00,29200.97,29289.82,29130,29160.39,NaN,NaN,,
2021-01-02T00:00:00+02:00,29163.17,29326.74,29104.57,29262.32,NaN,NaN,,
2021-01-02T01:00:00+02:00,29262.32,29338.89,29228.14,29331.69,14937.92128100808,14937.92128100808,,
2021-01-02T02:00:00+02:00,29331.7,29338.59,28946.53,29197.48,NaN,NaN,,
2021-01-02T03:00:00+02:00,29197.93,29400,29100,29359.47,NaN,NaN,,
2021-01-02T04:00:00+02:00,29359.46,29469,29320.01,29323.82,NaN,NaN,,
2021-01-02T05:00:00+02:00,29323.82,29382.49,29256.85,29351.95,NaN,NaN,,
2021-01-02T06:00:00+02:00,29351.95,29396,29220,29349.63,NaN,NaN,,
2021-01-02T07:00:00+02:00,29349.63,29590,29349.63,29589.99,NaN,NaN,,
2021-01-02T08:00:00+02:00,29589.99,29745,29450,29709.07,NaN,NaN,,
2021-01-02T09:00:00+02:00,29709.06,29820.5,29623.31,29750,NaN,NaN,,
2021-01-02T10:00:00+02:00,29751.47,29849.11,29640,29844.51,NaN,NaN,,
2021-01-02T11:00:00+02:00,29844.52,29899,29578.05,29612.87,NaN,NaN,,
2021-01-02T12:00:00+02:00,29612.88,29829,29473.91,29680.99,NaN,NaN,,
2021-01-02T13:00:00+02:00,29679.51,29780.53,29622.79,29755,NaN,NaN,,
2021-01-02T14:00:00+02:00,29754.99,30888,29741.39,30604.03,NaN,NaN,,
2021-01-02T15:00:00+02:00,30604.03,31561.87,30521,31541.17,NaN,NaN,,
2021-01-02T16:00:00+02:00,31546.06,31567.89,31065,31290.53,NaN,NaN,,
2021-01-02T17:00:00+02:00,31290.53,31800,31236.37,31691.29,NaN,NaN,,
2021-01-02T18:00:00+02:00,31691.09,33000,31616.42,32482.28,NaN,NaN,,
2021-01-02T19:00:00+02:00,32484.28,32935,32394.77,32856.96,NaN,NaN,,
2021-01-02T20:00:00+02:00,32856.95,33300,32421,32999.98,NaN,NaN,,
2021-01-02T21:00:00+02:00,32999.98,33220,32690,33027.2,NaN,NaN,,
2021-01-02T22:00:00+02:00,33027.2,33061.37,30550,30667.22,NaN,NaN,,
2021-01-02T23:00:00+02:00,30669.43,32005.94,30300,31694.59,NaN,NaN,,
2021-01-03T00:00:00+02:00,31693.53,32311.92,31424.96,32145.66,NaN,NaN,,
2021-01-03T01:00:00+02:00,32143.53,32246.67,31500,32178.33,15109.467636420935,15109.467636420935,,
2021-01-03T02:00:00+02:00,32176.45,32497.8,31962.99,32447.94,NaN,NaN,,
2021-01-03T03:00:00+02:00,32447.95,32790.07,32201,32585.09,NaN,NaN,,
2021-01-03T04:00:00+02:00,32583.04,32884.09,32550,32741.67,NaN,NaN,,
2021-01-03T05:00:00+02:00,32741.68,32756,32404,32573.87,NaN,NaN,,
2021-01-03T06:00:00+02:00,32576.11,33250,32450,33192.53,NaN,NaN,,
2021-01-03T07:00:00+02:00,33192.53,34180,33109.44,33758.67,NaN,NaN,,
2021-01-03T08:00:00+02:00,33758.67,34110.05,33651.12,33967.13,NaN,NaN,,
2021-01-03T09:00:00+02:00,33967.13,34778.11,33737.19,34452.34,NaN,NaN,,
2021-01-03T10:00:00+02:00,34451.78,34670.41,33757.29,34367.68,NaN,NaN,,
2021-01-03T11:00:00+02:00,34367.35,34588.88,33800,34190.55,NaN,NaN,,
2021-01-03T12:00:00+02:00,34189.98,34350,33403,33877.96,NaN,NaN,,
2021-01-03T13:00:00+02:00,33877.96,34450,33787.55,34413.53,NaN,NaN,,
2021-01-03T14:00:00+02:00,34413.53,34600,33928.75,34103.72,NaN,NaN,,
2021-01-03T15:00:00+02:00,34103.73,34385.02,33800,33880,NaN,NaN,,
2021-01-03T16:00:00+02:00,33877.98,34150,33450,33811.54,NaN,NaN,,
2021-01-03T17:00:00+02:00,33811.54,33873.45,32727,33506.62,NaN,NaN,,
2021-01-03T18:00:00+02:00,33505.15,33822.69,32650,32676.74,NaN,NaN,,
2021-01-03T19:00:00+02:00,32676.75,33333.33,32454.73,32909.27,NaN,NaN,,
2021-01-03T20:00:00+02:00,32907.51,33031.57,32267,32769.76,NaN,NaN,,
2021-01-03T21:00:00+02:00,32769.79,32930,32455.71,32772.21,NaN,NaN,,
2021-01-03T22:00:00+02:00,32775.1,33816,32727.1,33726.21,NaN,NaN,,
2021-01-03T23:00:00+02:00,33725.72,33861.92,33506,33558.34,NaN,NaN,,
2021-01-04T00:00:00+02:00,33559.06,33661.1,33000,33119.14,NaN,NaN,,
2021-01-04T01:00:00+02:00,33119.14,33600,32600,33000.05,15287.48338133217,15287.48338133217,,
2021-01-04T02:00:00+02:00,33000.05,33111.44,32400.25,32843.88,NaN,NaN,,
2021-01-04T03:00:00+02:00,32843.89,33327,32602.47,33191.04,NaN,NaN,,
2021-01-04T04:00:00+02:00,33191.05,33588,32958.38,33454.22,NaN,NaN,,
2021-01-04T05:00:00+02:00,33454.21,33510.71,33160,33505.16,NaN,NaN,,
2021-01-04T06:00:00+02:00,33505.15,33600,33186.14,33257.55,NaN,NaN,,
2021-01-04T07:00:00+02:00,33257.56,33315.9,32802.25,32813.01,NaN,NaN,,
2021-01-04T08:00:00+02:00,32813.01,33408,32813,33100.02,NaN,NaN,,
2021-01-04T09:00:00+02:00,33100.02,33148.69,31505,32068.84,NaN,NaN,,
2021-01-04T10:00:00+02:00,32068.84,32567.88,31450,32045.14,NaN,NaN,,
2021-01-04T11:00:00+02:00,32045.15,32152.15,30248.85,31038.63,NaN,NaN,,
2021-01-04T12:00:00+02:00,31038.35,31227.33,28130,30270.76,NaN,NaN,,
2021-01-04T13:00:00+02:00,30270.76,30900.2,29400,30743.06,NaN,NaN,,
